Cód,Materia,Primer llamado,Hora
46.23,Geología II,"jueves, 11 de febrero de 2027",17:00
46.41,Petrofísica y Fluidos de Reservorio,"viernes, 12 de febrero de 2027",18:00
46.42,Registros de Pozo I,"viernes, 19 de febrero de 2027",19:00
46.44,Análisis de Transientes de Presión,"lunes, 22 de febrero de 2027",19:00
46.46,Ingeniería de Reservorios,"martes, 23 de febrero de 2027",16:00
46.61,Ingeniería de Perforación I,"miércoles, 10 de febrero de 2027",19:00
46.63,Ingeniería de Workover I,"viernes, 19 de febrero de 2027",16:00
46.65,Instalaciones de Superficie,"miércoles, 10 de febrero de 2027",18:00
46.66,Gas y Gasolina Natural,"miércoles, 17 de febrero de 2027",18:00
46.67,Ingeniería de Producción I,"jueves, 18 de febrero de 2027",19:00
46.69,Transporte y Cadena de Valor de los Hidrocarburos,"martes, 23 de febrero de 2027",13:00
46.70,Industrialización y Economía de los Hidrocarburos,"lunes, 22 de febrero de 2027",19:00
46.81,Gestión Ambiental en la Industria,"viernes, 19 de febrero de 2027",19:00
46.82,Evaluación de Proyectos,"lunes, 15 de febrero de 2027",16:00
46.83,Desarrollo de Yacimientos,"viernes, 19 de febrero de 2027",13:00
47.47,Recuperación Asistida de Petróleo,"jueves, 11 de febrero de 2027",19:00
47.48,Simulación de Reservorios,"jueves, 18 de febrero de 2027",19:00
47.49,Recursos y Reservas,"miércoles, 17 de febrero de 2027",16:00
47.62,Ingeniería de Perforación II,"miércoles, 10 de febrero de 2027",16:00
47.64,Ingeniería de Workover II,"viernes, 19 de febrero de 2027",16:00
47.72,Geomecánica y Diseño de Fracturas,"lunes, 22 de febrero de 2027",18:00
47.73,Operaciones Offshore - Petróleo y LNG,"jueves, 18 de febrero de 2027",16:00
47.87,Desarrollo de Negocios,"martes, 23 de febrero de 2027",19:00
48.04,"El Gas Natural Licuado - Tecnología, Mercados y Negocios","martes, 16 de febrero de 2027",15:00
48.05,La Cadena de valor del Gas Natural,"jueves, 11 de febrero de 2027",15:00
61.02,Economía del Mercado Laboral,"jueves, 11 de febrero de 2027",14:00
61.04,Sistema Monetario y Financiero en Argentina,"miércoles, 3 de febrero de 2027",19:00
